fid,objtype,lokalid,navnerom,versjonid,datafangstdato,oppdateringsdato,datauttaksdato,opphav,kommunenummer,navn,Turnover_capita_retail_Omsetning
"53",Kommune,f946e9a0-2bda-46e6-89d3-c696d4be79d5,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4616",,"65175"
"54",Kommune,6a2d3b05-202e-4f35-bb90-340c95610edb,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4642",,"68772"
"55",Kommune,1c05aa4d-4c4d-4869-af88-406b25842381,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5042",,"34684"
"56",Kommune,718c439f-412f-4d29-9ae5-63649a33d1eb,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1804",,"107549"
"57",Kommune,9b992a9e-edf4-413f-afb1-85ca757fc457,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4615",,"57527"
"58",Kommune,e15ec547-2b87-4765-8301-13230485dfa6,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1832",,"44218"
"59",Kommune,0c43df46-5632-4137-9d16-5f91d1a3926c,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5417",,"98632"
"60",Kommune,f97a23b9-4d66-4796-9aee-f9e06d5eb9ca,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1816",,"36475"
"61",Kommune,cb8b5dc4-2e75-476d-988f-9f4b1307d8f0,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"5411",,"46555"
"62",Kommune,6aa031bd-5108-498f-bf09-0f113b5afe50,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"4623",,"54780"
"63",Kommune,88471efb-83cb-4382-b5b5-6c7bde18163f,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1528",,"71045"
"64",Kommune,3d4c47ef-da17-4fb3-ba70-fc5f7b91b2e5,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"1874",,"55059"
"65",Kommune,42ec0811-e0e3-42bb-9645-293057222601,https://data.geonorge.no/sosi/administrativeenheter,"4.2",,"20200207000000",,,"3024",,"96159"
