fid,name,note,opening_hours,website,wikipedia,postal_code,shop,Vinmonopolet
"169",City Syd,,"Mo-Fr 09:00-21:00, Sa 09:00-20:00",https://www.citysyd.no/,,"7075","70",true
"171",,,,,,,,
"173",CC mart'n Hamar,,10:00- 21:00 (18:00),cc.no/martn,CC Mart´n,"2318","8",true
"174",Storhamarsenteret,,08:00-23:00(09:00-21:00),storhamarsenteret.no,NO: Storhamarsenteret,"2316","8",false
"175",Down Town,,09:00 - 20:00 ( 09:00 - 18:00),Downtownsenter.no,NO: Down Town Kjøpesenter,"3921","73",true
"177",Mercursenteret,ikke lenger et kjøpesenter,,,no:Mercursenteret,,,
"178",Buskerud Storsenter,,10:00 - 20:00 (10:00 - 18:00),alti.no/buskerud,,"3055","60",true
"180",Amfi Borg,,10:00 - 20:00 (10:00 - 18:00),amfi.no/borg,AMFi Borg,"1711","50",true
"183",Torvbyen,,10:00 - 20:00 (10:00 - 18:00),Torvbyen.no,Torvbyen ,"1607","85",true
"184",,,,,,,,
"186",,,,,,,,
"189",Strandtorget,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",ccstrandtorget.no,CC strandtorget,"2609","65",true
"190",Strømmen Storsenter,,"Mo-Fr 10:00-21:00; Sa 10:00-19:00",strommenstorsenter.no,Strømmen storsenter,"2010","195",true
"191",Mediegården,,10:00 - 20:00 (10:00 - 18:00),https://stavangersentrum.no/medlemmer-vare-medlemmer/medlemmer?details=764,,"4013","6",true
"192",Hangaren Lade,,10:00 - 21:00 (18:00),"-","-","7041","4",false
"193",Amfi Pyramiden,,10:00 - 20:00 (10:00 - 18:00),amfi.no/amfi-pyramiden,"-","9020","46",true
"194",,,,,,,,
"195",Nerstranda senter,Find map on http://no.club-onlyou.com/Nerstranda/Senterkart,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",http://www.nerstranda.no,"-","9008","31",true
"196",Kolsås Senter,,10:00 - 20:00 (10:00 - 18:00),kolsas-senter.no,"-","1352","19",true
"197",Romerikssenteret,,10:00 - 20:00 (18:00),romerikssenteret.no,"-","2040","31",true
"199",Amfi Kanebogen,,10:00 - 20:00 (18:00),amfi.no/amfi-kanebogen,,"9411","56",false
"200",Alti Harstad,,09:00-18:00(10:00-16:00),harstad-sentrum.no/shopping-4/bertheustorget,,"9405","19",true
"201",Årnes Handel,,09:00-18:00(10:00-16:00),https://arnes-handel.no/,,"7170","9",true
"202",Sund senter,,06:30-23:00(08:00-23:00,"-","-","5382","6",true
"203",Trekanten Senter,,09:00 - 21:00 ( 09:00 - 18:00),trekanten-bodo.no,,"8008","9",false
"204",Amfi Vågsbygd Senter,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",https://amfi.no/kjopesentre/amfi-vagsbygd/,no:Amfi Vågsbygd,"4621","37",true
"205",Alti Arendal,,09:00 - 20:00 ( 09:00 - 18:00),alti.no/arendal,"NO; Alti arendal","4836","71",true
"206",PP-senteret,,06:30-22:00(07:00-20:00),ppsenteret.no,,"3919","8",false
"207",Kleppestø Senter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",kleppesto-senter.no,Kleppestø Senter,"5300","40",true
"208",Hvaltorvet kjøpesenter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",hvaltorvet.no,Hvaltorvet kjøpesenter,"3210","54",false
"210",Strømsø Senter,,09:00 - 20:00 ( 09:00 - 18:00),strømsøsenter.no,NO: Strømsø Senter,"3044","16",false
"211",Paleet,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://www.paleet.no/,NO:paleet,"0162","21",true
"212",Tåsen Nærsenter,,08:00-22:00(08:00-20:00),tåsensenter.no,,"0876","14",false
"213",Lambertseter senter,,"Mo-Fr 10:00-21:00; Sa 09:00-19:00",lambertsetersenter.no,Labertseter Senter,"1153","85",true
"214",Vinderentorvet,,09:00-18:00(16:00),vinderen.no,,"0374","10",true
"215",Jekta Storsenter,,10:00 - 21:00 (10:00 - 18:00),https://www.jekta.no/,no:Jekta Storsenter,"9015","130",true
"216",Strusshamn senter,,10:00-19:00(16:00),strusshamnnærsenter.no,,"5318","20",false
"217",Lofotensenteret,,10:00-20:00(16:00),lofotensenteret.no,,"8370","29",true
"218",Sletten Senter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://www.slettensenter.no/,,"5081","29",true
"219",Amfi Alta,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://amfi.no/alta,"-","9510","69",true
"221",Alti Kragerø,,10:00 - 19:00 (17:00),alti.no/kragerø,,"3766","16",false
"222",Kiwi,kiwi,07:00-23:00,kiwi.no,no: kiwi,"-","1",false
"223",Krokensenteret,,07:00-23:00,"-",no:Kroken (tromsø),"9022","4",false
"224",Amfi Kirkenes,,09:00-19:00(10:00- 16:00),amfi.no/kirkenes,Amfi kirkenes,"9900","14",true
"225",,,,,,,,
"227",Slemdal senter,,10:00-18:00(16:00),"-","-","0776","5",false
"228",,,,,,,,
"232",Slottet Shopping,,Mo-Sa 10:00-16:00,,no:Slottet Shopping,"4612","11",false
"233",CC vest,,"Mo-Fr 10:00-21:00, Sa 09:00-19:00",,,"0283","112",true
"234",Laksevåg Senter,,"Mo-Fr 10:00-20:00, Sa 10:00-18:00",http://www.laksevagsenter.no/,,"5163","36",true
"235",Sjøsiden Senter,,"Mo-Fr 10:00-19:00; Sa 10:00-17:00",http://sjosiden.no/,,"8656","35",true
"236",Amfi Svolvær,,"Mo-Fr 10:00-19:00; Sa 10:00-18:00",,,"8300","36",true
"237",Blomsterdalen Senter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://www.blomsterdalensenter.no/,,"5258","10",false
"238",Nissen,,"Mo-Fr 10:00-18:00; Sa 10:00-16:00",,,"9600","18",true
"239",Harebakken Senter,Alti Harebakken,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,no:Alti Harebakken,"4846","50",false
"240",Magneten,Alti Magneten,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"7606","70",false
"242",,,,,,,,
"243",Gulskogen senter,,"Mo-Fr 10:00-21:00; Sa 10:00-19:00",,no:Gulskogen kjøpesenter,"3048","120",false
"244",Røa Senter,"over 20 butikker, nettside nede","Mo-Fr 09:00-21:00; Sa 09:00-18:00",,,"0751",mall,
"245",Migosenteret,lagt ned,,,,"7027",mall,
"246",Farsund Senter,Amfi fasrund,"Mo-Fr 10:00-20:00; Sa 10:00-13:00",,,"4550","26",true
"247",Molde Storsenter,Amfi Roseby,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"6415","94",true
"248",Trekanten,to senter m samme navn,"Mo-Fr 10:00-21:00; Sa 09:00-19:00",,,"1383","78",true
"249",Sandens,,"Mo-Fr 09:00-20:00; Sa 10:00-18:00",,,"4611","35",false
"250",Lillemarkens,,"Mo-Fr 09:00-18:00; Sa 10:00-17:00",,,"4611","28",true
"251",Amfi Havnesenteret,,"Mo-Fr 09:00-20:00; Sa 10:00-18:00",https://amfi.no/havnesenteret,,"8900","29",true
"252",Vikjatunet,ikke senter,,,,,mall,
"253",Kvistad Varehus,ikke senter,,,,,mall,
"254",Myragården,ikke senter,,,,,mall,
"255",Amfi Finnsnes,,"Mo-Fr 10:00-19:00; Sa 10:00-18:00; PH off",,,"9300","43",true
"256",,,,,,,,
"257",Torghallen Mall,"lite infor, ikke senter?",,,,,mall,
"258",Tangen Nærsenter,Tangen Senter,"Mo-Fr 10:00-20:00; Sa 09:00-18:00",,,"1450","42",true
"259",,,,,,,,
"261",Motehuset Sundt,midlertidig stengt,"Mo-Fr 09:00-21:00; Sa 09:00-18:00",http://sundtshopping.no/,no:Sundt varemagasin,,mall,
"262",Royal Arkaden,dårlig info,,,,"8003","9",false
"263",Askøy senter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"5308","25",false
"264",Alti Tynset,,"Mo-Fr 09:00-19:00; Sa 09:00-16:00",,,"2500","19",false
"265",Mortensrud torg,,"Mo-Fr 10:00-18:00; Sa 10:00-15:00",,,"1281","16",false
"266",Langevåg bygdatun,Senter?,"Mo-Fr 07:00-20:00; Sa 08:00-19:00; Su 09:00-20:00",https://bygdatunet.no/,,"5443","2",false
"267",Rasta senter,,"Mo-Fr 10:00-20:30; Sa 10:00-19:00",,,"1476","4",false
"268",,,,,,,,
"269",Florvåg Senter,,Mo-Sa 07:00-23:00,,,"5305","2",false
"270",,,,,,,,
"271",Amfi Oti,,"Mo-Fr 09:00-20:00; Sa 09:00-18:00",https://amfi.no/amfi-oti/,no:OTI-Sentret,"7300","16",false
"272",Amfi Steinkjer,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://amfi.no/kjopesentre/amfi-steinkjer/,,"7714","82",true
"273",Ørnes sentrum 2,drlig info p butikker,"Mo-We 09:00-16:30; Th 09:00-18:00; Sa 10:00-15:00; Su 14:00-18:00",,,"8150",mall,
"274",Grong Kjøpesenter,,"Mo-Fr 07:00-22:00; Sa 08:00-20:00",,,"7870","7",true
"275",Østerås senter,,"Mo-Fr 09:00-19:00; Sa 09:00-18:00",,,"1361","21",true
"276",Amfi Moa nord,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"6010","206",true
"278",Kremmergaarden,,"Mo-Fr 09:00-19:00; Sa 10:00-18:00",,,"6002","21",true
"279",Eiker Senter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"3300","23",false
"280",Blåhuset Ulsteinvik,,"Mo-Fr 10:00-19:00; Sa 10:00-16:00",,,"6065","15",true
"281",Kolbotn Torg,,"Mo-Fr 10:00-21:00, Sa 09:00-18:00",,,"1410","55",true
"282",City Nord,,"Mo-Fr 10:00-21:00, Sa 10:00-19:00",,,"8008","111",true
"283",Askimtorget,,"Mo-Fr 10:00-20:00, Sa 10:00-18:00",https://www.askimtorget.no/,,"1830","50",false
"284",Knarvik Senter,,"Mo-Fr 10:00-20:00, Sa 10:00-18:00",https://www.knarviksenter.no/,,"5914","70",true
"285",Amfi Florø,,"Mo-Fr 10:00-19:00; Sa 10:00-16:00",,,"6900","21",true
"286",Mosenteret,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,,"33",true
"287",Sørås senter,Kilden Senter?,,,,,mall,
"288",Maxis senter,,"Mo-Fr 09:00-18:00; Sa 09:00-16:00",,,"4839","11",false
"289",Alti Futura,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"6517","67",true
"290",Neskollen Senter,,Mo-Sa 07:00-23:00,,,"2165",mall,
"291",Rissasenteret,,"Mo-Fr 09:30-17:00; Th 09:30-18:00; Sa 09:30-15:00",,,"7100","5",false
"293",Byporten Shopping,"This probably isn't right, what part of these buildings are the same one?","Mo-Fr 10:00-21:00; Sa 10:00-20:00",https://www.byporten.no/,,"0154","72",false
"294",Dampsaga Senteret,,"Mo-Fr 09:00-18:00; Sa 09:00-16:00",,,"7725","23",false
"295",Hardangersenteret,ikke senter?,,,,,mall,
"296",Tunet,"Tunet senter, Øystese","Mo-Fr 07:00-23:00; Sa 08:00-21:00",,,"5610","5",false
"297",Straumen Senter,,"Mo-Fr 10:00-19:00; Sa 10:00-16:00",,,"5600","9",false
"298",Bølgen kjøpesenter,,"Mo-Fr 10:00-18:00; Th 10:00-19:00; Sa 10:00-16:00",,,"6440","14",true
"300",M44,,"Mo-Fr 10:00-22:00; Sa 10:00-18:00",https://m44.no/,,"4340","75",true
"301",Bryne Torg,ikke senter,,,,,mall,
"303",,,,,,,,
"306",ENN-Senteret,ingen info,,,,,mall,
"307",Amfi Årnes,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",,,"2150","21",true
"309",Ålesund Storsenter,,"Mo-Fr 10:00-20:00; Sa 10:00-18:00",https://www.alesundstorsenter.no/,,"6002","41",false
"310",Løken Senter,maps,"Mo-Fr 09:00-17:00; Sa 09:00-15:00",,,"1960","6",false
"311",Amfi Nærbø,,"Mo-Fr 09:00-19:00; Sa 09:00-17:00",,,"4365","28",true
"312",Teiegården,,"Mo-Fr 09:00-18:00; Sa 09:00-16:00",https://www.teiegarden.no/,,"3120","14",true
"313",Bellevue Senteret,,"Mo-Fr 09:00-18:00; Sa 09:00-16:00",http://www.bellevuesenteret.no,,,"12",false
